6.00,7.00,7.00,2.00,6.00,12.00,4.00,0.07,6.00,2.00,4.00,1.00,31.00,1.00,0.00,55.00,2.00,4.00,1.00,59.86,19.78,23415.51,0.39,224.00,0.05,1300.86,1183.93,0.25,3.00,6.00,29.00,0.06,89.00,135.00,27.00,12.00,71.00,12.70,57.00,1.00
1.00,21.00,5.00,0.00,0.00,36.00,11.00,0.39,16.00,2.25,7.00,0.64,40.00,9.00,0.80,28.00,1.00,11.00,1.00,25.13,31.64,25154.15,0.27,155.00,0.03,1397.45,795.04,0.82,10.00,18.00,31.00,0.35,67.00,88.00,18.00,17.00,31.00,0.00,28.00,1.00
14.00,24.00,8.00,0.00,14.00,30.00,15.00,0.25,14.00,2.14,9.00,0.60,49.00,3.00,0.14,59.00,0.00,9.00,0.60,46.74,21.17,20950.15,0.33,162.00,0.05,1163.90,989.58,0.20,8.00,15.00,36.00,0.17,62.00,100.00,41.00,28.00,89.00,19.18,59.00,0.00
7.00,15.00,2.00,0.00,9.00,26.00,8.00,0.27,12.00,2.17,3.00,0.38,32.00,1.00,0.00,30.00,1.00,5.00,0.63,25.01,30.00,22511.76,0.25,141.00,0.03,1250.65,750.39,0.13,7.00,13.00,26.00,0.17,60.00,81.00,20.00,20.00,48.00,23.08,30.00,0.00
1.00,13.00,0.00,6.00,0.00,24.00,7.00,0.30,12.00,2.00,1.00,0.14,28.00,1.00,0.00,17.00,2.00,4.00,0.57,14.31,38.64,21359.95,0.18,115.00,0.03,1186.66,552.85,0.14,6.00,12.00,23.00,0.27,50.00,65.00,11.00,17.00,26.00,26.09,23.00,1.00
7.00,3.00,4.00,1.00,6.00,4.00,2.00,0.09,2.00,2.00,2.00,1.00,10.00,1.00,0.00,22.00,0.00,2.00,1.00,44.50,21.58,20724.80,0.32,183.00,0.05,1151.38,960.37,0.50,1.00,2.00,10.00,0.05,83.00,100.00,25.00,13.00,38.00,24.14,23.00,1.00
6.00,15.00,1.00,0.00,2.00,26.00,8.00,0.26,12.00,2.17,2.00,0.25,32.00,3.00,0.29,31.00,2.00,4.00,0.50,33.62,28.08,26512.30,0.31,174.00,0.04,1472.91,944.17,0.38,7.00,13.00,26.00,0.20,78.00,96.00,25.00,18.00,41.00,6.06,31.00,1.00
8.00,23.00,3.00,0.00,14.00,36.00,12.00,0.38,14.00,2.57,5.00,0.42,40.00,6.00,0.45,32.00,0.00,10.00,0.83,39.63,24.05,22915.89,0.32,168.00,0.04,1273.10,952.97,0.50,11.00,18.00,30.00,0.21,81.00,87.00,32.00,19.00,56.00,30.43,32.00,0.00
1.00,5.00,1.00,0.00,0.00,8.00,3.00,0.25,4.00,2.00,1.00,0.33,11.00,1.00,0.00,12.00,3.00,3.00,1.00,15.48,36.25,20339.03,0.19,118.00,0.03,1129.95,561.08,0.33,2.00,4.00,10.00,0.20,58.00,60.00,12.00,15.00,15.00,0.00,12.00,0.00
13.00,13.00,4.00,2.00,13.00,24.00,7.00,0.17,12.00,2.00,2.00,0.29,29.00,4.00,0.50,39.00,0.00,0.00,0.00,42.89,24.48,25705.69,0.35,187.00,0.04,1428.09,1049.95,0.57,6.00,12.00,24.00,0.10,71.00,116.00,29.00,20.00,69.00,27.78,41.00,1.00
