2.00,9.00,1.00,0.00,5.00,5.00,1.00,36.00,35.30,17.00,10202.14,0.20,117.00,0.06,566.79,600.13,51.00,66.00,21.00,14.00,43.00,1.00
1.00,11.00,0.00,0.00,6.00,5.00,3.00,32.00,29.51,21.37,13473.84,0.21,125.00,0.05,748.55,630.55,58.00,67.00,19.00,14.00,35.00,1.00
2.00,11.00,0.00,0.00,6.00,6.00,3.00,37.00,30.92,19.35,11576.40,0.20,114.00,0.05,643.13,598.26,43.00,71.00,20.00,18.00,44.00,1.00
3.00,15.00,1.00,2.00,8.00,5.00,7.00,34.00,33.95,18.06,11072.86,0.20,111.00,0.06,615.16,613.12,43.00,68.00,25.00,21.00,44.00,1.00
3.00,10.00,0.00,1.00,4.00,4.00,3.00,44.00,73.68,12.57,11648.46,0.31,165.00,0.08,647.14,926.43,57.00,108.00,34.00,15.00,50.00,1.00
11.00,11.00,4.00,10.00,6.00,4.00,5.00,45.00,52.00,14.50,10932.56,0.25,135.00,0.07,607.36,753.97,58.00,77.00,32.00,16.00,74.00,0.00
3.00,11.00,0.00,0.00,6.00,5.00,1.00,22.00,37.35,18.67,13013.89,0.23,131.00,0.05,722.99,697.17,56.00,75.00,24.00,16.00,27.00,0.00
4.00,19.00,0.00,3.00,10.00,4.00,8.00,36.00,70.05,13.56,12885.09,0.32,172.00,0.07,715.84,950.05,62.00,110.00,32.00,14.00,48.00,1.00
6.00,15.00,0.00,1.00,8.00,8.00,5.00,54.00,42.97,17.00,12417.08,0.24,133.00,0.06,689.84,730.42,51.00,82.00,27.00,18.00,63.00,0.00
2.00,7.00,0.00,0.00,4.00,4.00,1.00,25.00,68.24,12.33,10369.98,0.28,156.00,0.08,576.11,841.20,55.00,101.00,29.00,13.00,32.00,1.00
5.00,15.00,0.00,2.00,8.00,8.00,6.00,37.00,51.81,14.86,11436.73,0.26,141.00,0.07,635.37,769.78,52.00,89.00,28.00,16.00,46.00,0.00
7.00,9.00,0.00,4.00,5.00,3.00,5.00,40.00,47.68,15.83,11952.97,0.25,140.00,0.06,664.05,754.92,57.00,83.00,27.00,15.00,53.00,1.00
2.00,23.00,0.00,2.00,12.00,12.00,1.00,57.00,55.45,14.29,11325.25,0.26,151.00,0.07,629.18,792.44,49.00,102.00,24.00,14.00,63.00,1.00
12.00,13.00,0.00,10.00,7.00,7.00,1.00,46.00,53.34,14.62,11401.84,0.26,142.00,0.07,633.44,779.84,53.00,89.00,29.00,16.00,72.00,0.00
2.00,11.00,0.00,2.00,6.00,6.00,1.00,41.00,48.72,15.43,11596.34,0.25,149.00,0.06,644.24,751.61,54.00,95.00,21.00,12.00,48.00,0.00
10.00,9.00,0.00,0.00,5.00,5.00,1.00,28.00,33.91,19.88,13396.54,0.22,125.00,0.05,744.25,674.04,53.00,72.00,24.00,18.00,40.00,0.00
1.00,12.00,0.00,0.00,7.00,7.00,3.00,52.00,43.01,15.60,10466.11,0.22,133.00,0.06,581.45,670.90,48.00,85.00,20.00,13.00,56.00,1.00
1.00,17.00,0.00,1.00,9.00,2.00,9.00,29.00,79.66,11.38,10307.52,0.30,165.00,0.09,572.64,906.16,56.00,109.00,32.00,13.00,36.00,1.00
2.00,11.00,0.00,0.00,6.00,6.00,3.00,35.00,31.00,18.45,10553.84,0.19,109.00,0.05,586.32,572.02,41.00,68.00,20.00,18.00,41.00,0.00
3.00,11.00,3.00,5.00,6.00,4.00,5.00,41.00,42.76,17.64,13304.98,0.25,139.00,0.06,739.17,754.25,49.00,90.00,25.00,18.00,54.00,1.00
2.00,11.00,0.00,3.00,6.00,6.00,3.00,41.00,40.93,16.67,11369.91,0.23,133.00,0.06,631.66,682.19,50.00,83.00,21.00,14.00,48.00,1.00
2.00,11.00,0.00,0.00,6.00,6.00,3.00,34.00,30.49,18.50,10434.98,0.19,120.00,0.05,579.72,564.05,37.00,83.00,13.00,13.00,38.00,1.00
11.00,9.00,3.00,9.00,5.00,4.00,3.00,46.00,50.35,14.45,10515.73,0.24,131.00,0.07,584.21,727.65,56.00,75.00,31.00,16.00,74.00,0.00
3.00,17.00,0.00,2.00,9.00,9.00,5.00,42.00,35.23,18.28,11773.96,0.21,130.00,0.05,654.11,644.05,39.00,91.00,16.00,15.00,49.00,1.00
7.00,11.00,0.00,0.00,6.00,6.00,1.00,45.00,46.32,15.83,11604.88,0.24,132.00,0.06,644.72,733.21,51.00,81.00,29.00,18.00,54.00,1.00
6.00,9.00,0.00,3.00,5.00,3.00,1.00,43.00,53.73,14.25,10911.35,0.26,142.00,0.07,606.19,765.71,57.00,85.00,28.00,14.00,55.00,0.00
6.00,9.00,0.00,1.00,5.00,5.00,1.00,51.00,70.96,13.00,11991.65,0.31,167.00,0.08,666.20,922.43,66.00,101.00,33.00,13.00,61.00,1.00
6.00,9.00,2.00,5.00,5.00,4.00,5.00,32.00,34.94,17.50,10700.49,0.20,112.00,0.06,594.47,611.46,42.00,70.00,24.00,20.00,47.00,1.00
4.00,5.00,0.00,3.00,3.00,3.00,1.00,43.00,54.62,14.09,10838.40,0.26,150.00,0.07,602.13,769.39,54.00,96.00,23.00,12.00,56.00,0.00
