3.00,5.00,8.00,0.00,2.00,8.00,3.00,0.19,4.00,3.00,1.00,16.00,1.00,0.00,16.00,0.00,0.00,0.00,39.78,6.19,1522.89,0.08,53.00,0.16,84.61,246.12,0.00,2.00,4.00,15.00,0.13,22.00,31.00,16.00,9.00,23.00,11.11,16.00,1.00
0.00,1.00,2.00,0.00,0.00,0.00,1.00,0.11,0.00,1.00,1.00,7.00,1.00,0.00,9.00,0.00,0.00,0.00,16.05,10.31,1708.46,0.06,39.00,0.10,94.91,165.67,1.00,0.00,0.00,8.00,0.09,15.00,24.00,8.00,11.00,11.00,0.00,9.00,1.00
1.00,1.00,2.00,0.00,2.00,0.00,1.00,0.11,0.00,1.00,1.00,3.00,1.00,0.00,9.00,0.00,1.00,1.00,46.84,5.97,1669.87,0.09,61.00,0.17,92.77,279.68,1.00,0.00,0.00,4.00,0.07,29.00,32.00,17.00,7.00,14.00,18.18,9.00,1.00
3.00,5.00,1.00,6.00,0.00,8.00,3.00,0.19,4.00,1.00,0.00,11.00,1.00,0.00,10.00,0.00,0.00,0.00,14.41,12.00,2074.53,0.06,40.00,0.08,115.25,172.88,0.00,2.00,4.00,10.00,0.14,16.00,24.00,8.00,12.00,21.00,37.50,16.00,1.00
4.00,5.00,5.00,0.00,4.00,8.00,3.00,0.20,4.00,3.00,1.00,18.00,1.00,0.00,15.00,0.00,3.00,1.00,43.59,6.00,1569.11,0.09,55.00,0.17,87.17,261.51,0.00,2.00,4.00,17.00,0.12,24.00,31.00,18.00,9.00,25.00,21.05,15.00,1.00
6.00,3.00,3.00,0.00,4.00,4.00,2.00,0.13,2.00,2.00,1.00,9.00,1.00,0.00,15.00,1.00,2.00,1.00,17.93,10.00,1793.07,0.06,43.00,0.10,99.61,179.31,0.00,1.00,2.00,9.00,0.07,16.00,27.00,8.00,10.00,27.00,21.05,15.00,1.00
0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.11,0.00,1.00,1.00,9.00,1.00,0.00,9.00,0.00,0.00,0.00,110.73,3.48,1339.64,0.13,81.00,0.29,74.42,385.15,1.00,0.00,0.00,10.00,0.09,40.00,41.00,23.00,4.00,11.00,0.00,9.00,1.00
1.00,3.00,6.00,0.00,0.00,4.00,2.00,0.25,2.00,1.00,0.00,11.00,1.00,0.00,8.00,0.00,0.00,0.00,15.07,9.75,1432.72,0.05,34.00,0.10,79.60,146.95,0.00,1.00,2.00,11.00,0.18,13.00,21.00,8.00,12.00,11.00,0.00,8.00,1.00
4.00,3.00,0.00,6.00,0.00,4.00,2.00,0.13,2.00,1.00,0.00,6.00,1.00,0.00,9.00,1.00,2.00,1.00,30.88,8.07,2009.59,0.08,53.00,0.12,111.64,249.12,0.00,1.00,2.00,6.00,0.10,22.00,31.00,15.00,11.00,21.00,40.00,15.00,1.00
2.00,5.00,1.00,0.00,0.00,8.00,3.00,0.30,4.00,2.00,0.00,12.00,1.00,0.00,10.00,0.00,3.00,1.00,26.35,7.50,1482.41,0.07,45.00,0.13,82.36,197.65,0.00,2.00,4.00,11.00,0.21,20.00,25.00,12.00,9.00,14.00,0.00,10.00,1.00
2.00,5.00,1.00,0.00,4.00,8.00,3.00,0.50,4.00,2.00,0.00,12.00,1.00,0.00,6.00,0.00,2.00,0.00,12.20,11.14,1514.69,0.05,32.00,0.09,84.15,135.93,0.00,2.00,4.00,11.00,0.21,13.00,19.00,7.00,12.00,14.00,40.00,6.00,1.00
18.00,1.00,12.00,15.00,10.00,0.00,1.00,0.04,0.00,1.00,1.00,19.00,1.00,0.00,9.00,0.00,0.00,0.00,116.97,4.03,1903.85,0.16,92.00,0.25,105.77,471.89,1.00,0.00,0.00,20.00,0.02,39.00,53.00,29.00,6.00,54.00,73.53,24.00,1.00
2.00,6.00,0.00,0.00,0.00,0.00,5.00,0.45,0.00,1.00,0.00,12.00,1.00,0.00,11.00,0.00,1.00,0.00,22.96,8.80,1778.01,0.07,46.00,0.11,98.78,202.05,0.00,0.00,0.00,9.00,0.33,16.00,30.00,10.00,11.00,15.00,0.00,11.00,1.00
4.00,7.00,2.00,0.00,21.00,10.00,4.00,0.36,4.00,3.00,0.00,11.00,4.00,1.00,11.00,0.00,0.00,0.00,16.32,10.11,1668.32,0.05,37.00,0.10,92.68,165.00,1.00,3.00,5.00,9.00,0.11,14.00,23.00,9.00,13.00,38.00,65.63,11.00,1.00
22.00,1.00,13.00,12.00,88.00,0.00,1.00,0.05,0.00,1.00,1.00,19.00,1.00,0.00,10.00,0.00,1.00,1.00,122.07,3.60,1582.00,0.15,85.00,0.28,87.89,439.44,1.00,0.00,0.00,20.00,0.01,36.00,49.00,30.00,6.00,134.00,90.91,22.00,0.00
3.00,1.00,1.00,3.00,0.00,0.00,1.00,0.08,0.00,1.00,1.00,6.00,1.00,0.00,10.00,0.00,0.00,0.00,37.94,7.39,2073.40,0.09,62.00,0.14,115.19,280.46,1.00,0.00,0.00,7.00,0.06,23.00,39.00,14.00,9.00,18.00,23.08,13.00,1.00
24.00,1.00,6.00,0.00,0.00,0.00,1.00,0.07,0.00,1.00,1.00,9.00,1.00,0.00,14.00,0.00,1.00,1.00,40.49,6.62,1773.03,0.09,57.00,0.15,98.50,267.93,1.00,0.00,0.00,10.00,0.02,25.00,32.00,17.00,9.00,41.00,0.00,14.00,1.00
0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.33,4.00,2.00,0.00,9.00,1.00,0.00,9.00,0.00,0.00,0.00,8.55,13.00,1444.74,0.04,31.00,0.08,80.26,111.13,0.00,2.00,4.00,8.00,0.27,13.00,18.00,4.00,8.00,11.00,0.00,9.00,1.00
0.00,5.00,1.00,0.00,1.00,8.00,3.00,0.30,4.00,1.00,0.00,9.00,1.00,0.00,10.00,0.00,2.00,0.00,15.82,9.29,1364.49,0.05,34.00,0.11,75.81,146.95,0.00,2.00,4.00,8.00,0.23,10.00,24.00,7.00,13.00,13.00,9.09,10.00,1.00
2.00,5.00,1.00,0.00,0.00,8.00,3.00,0.30,4.00,2.00,0.00,12.00,1.00,0.00,10.00,0.00,0.00,0.00,28.99,6.92,1389.28,0.07,45.00,0.14,77.18,200.67,0.00,2.00,4.00,11.00,0.21,20.00,25.00,13.00,9.00,14.00,0.00,10.00,1.00
1.00,5.00,3.00,0.00,0.00,8.00,3.00,0.38,4.00,3.00,1.00,13.00,1.00,0.00,8.00,0.00,0.00,0.00,14.40,10.00,1440.00,0.05,36.00,0.10,80.00,144.00,0.00,2.00,4.00,12.00,0.27,12.00,24.00,6.00,10.00,11.00,0.00,8.00,1.00
3.00,5.00,7.00,0.00,2.00,8.00,3.00,0.20,4.00,3.00,1.00,15.00,1.00,0.00,15.00,0.00,0.00,0.00,35.66,6.30,1415.38,0.07,49.00,0.16,78.63,224.66,0.00,2.00,4.00,14.00,0.14,21.00,28.00,15.00,9.00,22.00,11.76,15.00,1.00
