0.00,3.00,3.00,0.00,0.00,4.00,2.00,0.50,2.00,2.00,2.00,1.00,9.00,1.00,0.00,4.00,2.00,2.00,1.00,18.99,5.14,502.31,0.03,25.00,0.19,27.91,97.67,0.50,1.00,2.00,9.00,0.33,9.00,16.00,7.00,8.00,6.00,0.00,4.00,1.00
0.00,3.00,2.00,0.00,0.00,4.00,2.00,0.25,2.00,2.00,2.00,1.00,8.00,1.00,0.00,8.00,2.00,2.00,1.00,16.20,8.75,1240.55,0.05,34.00,0.11,68.92,141.78,0.50,1.00,2.00,8.00,0.20,14.00,20.00,8.00,10.00,10.00,0.00,8.00,1.00
0.00,3.00,3.00,0.00,0.00,6.00,2.00,0.50,2.00,3.00,2.00,1.00,11.00,1.00,0.00,4.00,1.00,2.00,1.00,14.83,7.00,726.48,0.03,30.00,0.14,40.36,103.78,0.50,2.00,3.00,11.00,0.40,8.00,22.00,4.00,7.00,5.00,0.00,4.00,1.00
0.00,3.00,3.00,0.00,0.00,6.00,2.00,0.50,2.00,3.00,2.00,1.00,9.00,1.00,0.00,4.00,1.00,2.00,1.00,19.99,5.33,568.57,0.04,28.00,0.19,31.59,106.61,0.50,2.00,3.00,9.00,0.40,8.00,20.00,6.00,8.00,5.00,0.00,4.00,1.00
1.00,3.00,3.00,0.00,0.00,4.00,2.00,0.25,2.00,2.00,2.00,1.00,9.00,1.00,0.00,8.00,1.00,1.00,0.50,18.67,7.71,1110.86,0.05,36.00,0.13,61.71,144.00,0.50,1.00,2.00,9.00,0.20,12.00,24.00,7.00,9.00,10.00,0.00,8.00,1.00
2.00,3.00,2.00,0.00,0.00,6.00,2.00,0.33,2.00,3.00,2.00,1.00,7.00,1.00,0.00,6.00,0.00,2.00,1.00,17.23,8.67,1294.27,0.05,34.00,0.12,71.90,149.34,0.50,2.00,3.00,7.00,0.22,13.00,21.00,9.00,12.00,9.00,0.00,6.00,1.00
1.00,3.00,5.00,0.00,0.00,4.00,2.00,0.33,2.00,2.00,2.00,1.00,13.00,1.00,0.00,6.00,2.00,2.00,1.00,25.23,6.50,1066.00,0.05,41.00,0.15,59.22,164.00,0.50,1.00,2.00,13.00,0.22,13.00,28.00,8.00,8.00,9.00,0.00,6.00,0.00
1.00,3.00,2.00,0.00,0.00,4.00,2.00,0.33,2.00,2.00,2.00,1.00,8.00,1.00,0.00,6.00,1.00,2.00,1.00,15.86,7.20,822.39,0.04,30.00,0.14,45.69,114.22,0.50,1.00,2.00,8.00,0.25,8.00,22.00,5.00,9.00,8.00,0.00,6.00,1.00
0.00,3.00,3.00,0.00,0.00,4.00,2.00,0.50,2.00,2.00,2.00,1.00,9.00,1.00,0.00,4.00,2.00,2.00,1.00,16.32,4.67,355.35,0.03,20.00,0.21,19.74,76.15,0.50,1.00,2.00,9.00,0.40,7.00,13.00,6.00,8.00,5.00,0.00,4.00,1.00
1.00,3.00,4.00,0.00,0.00,4.00,2.00,0.29,2.00,2.00,2.00,1.00,11.00,1.00,0.00,7.00,0.00,2.00,1.00,24.71,5.63,781.73,0.05,34.00,0.18,43.43,138.97,0.50,1.00,2.00,11.00,0.22,10.00,24.00,8.00,9.00,9.00,0.00,7.00,1.00
0.00,3.00,1.00,0.00,0.00,4.00,2.00,0.33,2.00,2.00,2.00,1.00,7.00,1.00,0.00,6.00,2.00,2.00,1.00,13.38,7.33,719.39,0.03,24.00,0.14,39.97,98.10,0.50,1.00,2.00,7.00,0.29,8.00,16.00,6.00,11.00,7.00,0.00,6.00,1.00
2.00,3.00,2.00,0.00,0.00,4.00,2.00,0.22,2.00,2.00,2.00,1.00,7.00,1.00,0.00,9.00,0.00,2.00,1.00,15.92,8.64,1189.32,0.05,33.00,0.12,66.07,137.61,0.50,1.00,2.00,7.00,0.15,11.00,22.00,7.00,11.00,13.00,0.00,9.00,1.00
0.00,3.00,3.00,0.00,0.00,4.00,2.00,0.50,2.00,2.00,2.00,1.00,9.00,1.00,0.00,4.00,0.00,1.00,0.50,19.46,3.50,238.40,0.02,19.00,0.29,13.24,68.11,0.50,1.00,2.00,9.00,0.40,5.00,14.00,5.00,7.00,5.00,0.00,4.00,1.00
0.00,3.00,1.00,0.00,0.00,4.00,2.00,0.22,2.00,2.00,1.00,0.50,6.00,1.00,0.00,9.00,1.00,1.00,0.50,14.87,8.57,1092.32,0.04,30.00,0.12,60.68,127.44,0.50,1.00,2.00,6.00,0.20,10.00,20.00,7.00,12.00,10.00,0.00,9.00,1.00
1.00,3.00,3.00,0.00,0.00,4.00,2.00,0.50,2.00,2.00,2.00,1.00,9.00,1.00,0.00,4.00,0.00,2.00,1.00,19.29,6.72,871.59,0.04,30.00,0.15,48.42,129.66,0.50,1.00,2.00,9.00,0.33,11.00,19.00,9.00,11.00,6.00,0.00,4.00,1.00
